organization,location,description,website
21/64,United States,"21/64, founded in 2002, is a non-profit consulting division of the Andrea and Charles Bronfman Philanthropies that specializes in next generation and multi-generational strategic philanthropy.  At 21/64, they understand the unique skills and perspectives the next generation can bring to the philanthropic community. However, the prospect of engaging the next generation can be daunting. Next-generation family members have grown up with access to broader opportunities fueled by information technology, increased diversity and global connectedness. The questions they ask, language they use, and even their values and priorities change the way the family communicates. The more a family is able to see that “involving the kids” does not only mean adding children to an existing system, but rather shifting the family paradigm to become multigenerational--embracing what each generation brings to the table--the better prepared they will be for the next phase of their foundation’s evolution, and for meeting the needs of the 21st century.",http://www.2164.net
92nd Street Y,United States,"Founded more than a century ago to serve the Jewish people, 92nd Street Y promotes individual and family development and participation in civic life within the context of Jewish values and American pluralism.",http://www.92y.org/Contact.aspx
Acco Festival of Alternative Theatre,Israel,"The Acco Festival of Alternative Israeli Theatre, taking place again during the Intermediate Days of Sukkot, set out on its road 31 years ago and is one of the oldest and most exciting theatre festivals in Israel. The events of the Festival are produced by the Acco Municipality with the support of the Culture Administration of the Ministry of Culture and Sport, with all the productions receiving grants and entitled to ongoing artistic advising.",http://www.accofestival.co.il/
Acco Theatre Center,Israel,"The Acco Theater Center (ATC) blazes innovative paths in the realm of social theater, striving to forge strong alliances between Arab and Jewish artists, offering alternative paradigms and encouraging open and fruitful expression within our larger society.",http://www.acco-tc.com/eng
Ackerman Institute for the Family,United States,"Founded in 1960, the Ackerman Institute for the Family is one of the premier institutions for family therapy and one of the best-known and most highly regarded training facilities for family therapists in the United States. The Institute serves families from all walks of life at all stages of family life.",http://www.ackerman.org/
Advancing Women Professionals and the Jewish Community,United States,"Advancing Women Professionals and the Jewish Community (AWP) is a national non-profit organization whose mission is to advance women into leadership positions in Jewish life; stimulate Jewish organizations to become more equitable, productive and vibrant environments; and promote policies that support work-life integration and flexibility for professionals and volunteers.",http://advancingwomen.org/pages/about
Agenda – Israeli Center for Strategic Communications ,Israel,"Agenda, Israel’s only Center for Strategic Communications, is a unique not-for-profit center working to reprioritize and reframe social change issues within the Israeli public debate and media.",http://agenda.anu.org.il/english/
"Agudat Bet Sefer René Cassin, Singing City ",Israel,"The project's goal was to augment music education in 65 of Jerusalem's elementary schools, and to create employment for olim musicians. Approximately 1,500 children in Grades 3-6, who wished to, received instruments on loan througout the year, and play:  piano, violin, cello, wind instruments and more.",
AJEEC-NISPED,Israel,"Founded in 1998, AJEEC-NISPED (the Arab-Jewish Center for Equality, Empowerment and Cooperation – Negev Institute for Strategies of Peace and Development) is an Arab-Jewish nonprofit organization based in Israel’s Negev, dedicated to strengthening active citizenship through education and economic empowerment.",http://en.ajeec-nisped.org.il/
AJC- Global Jewish Advocacy,United States,"AJC's mission is to enhance the well-being of the Jewish people and Israel, and to advance human rights and democratic values in the United States and around the world. ",http://www.ajc.org
Akedia Productions Ltd.,Israel,The Kadeem Winds is a large scale film project on the ethnic rift between the Sephardim and the Askenaz. ,
Al Ahali,Israel,"Al Ahali is an independent not-for-profit organization established in 1999 to strengthen grassroots activism among Palestinian citizens in Israel. Ahali works through community organizing, used as a mean of struggle to obtain full citizenship and minority rights and thus ensuring equal distribution of national resources. ",
Aleh Rehabilitation Center for Brain Damaged Children,Israel,"ALEH believes that every child, regardless of the severity of the physical or cognitive disability, has the right to benefit from the best available care in order to reach his or her fullest potential.  ALEH is at the forefront of providing Israeli children with the high quality programs they need to maximize their potential.",https://aleh.org/
Alex Dworkin Canadian Jewish Archives,Canada,"The Alex Dworkin Canadian Jewish Archives (formerly known as the Canadian Jewish Congress Charities Committee National Archives) is a program of Jewish Federations Canada-UIA, and is supported by the Alex Dworkin Foundation for Jewish Archives, through Federation CJA. The Alex Dworkin Canadian Jewish Archives collects and preserves documentation on all aspects of the Jewish presence in Quebec and Canada.",http://www.cjccc.ca/
Alexander Muss Institute for Israel Education,United States,"Alexander Muss Institute for Israel Education is the premier academic Israel experience for Diaspora youth to enhance their cultural identity and link to Israel. AMHSI's mission is to promote, build, and strengthen lifelong bonds between youth and Israel through study of the history and culture of the people of Israel.",http://www.amhsi.org/
Alliance ProCURE,Canada,"Founded in 2003, PROCURE is the only charitable organization in Quebec to be exclusively dedicated to the fight against prostate cancer through research, awareness, education and support for men who have this disease and their families. PROCURE has its roots in the vision of one man, Marvyn Kussner, who fought prostate cancer and wanted to establish an organization to educate and support those concerned with

this diagnosis and to advance scientific research in this area.",http://www.procure.ca/
Alliance Quebec,Canada,"Founded in 1982 and disbanded in 2005, this advocacy group defended the interests of English-speaking Quebecers for over 20 years. The main thrust of its efforts was to protect the language rights of anglophones in Québec.",
Al-Qasemi Academic College of Education,Israel,"Al-Qasemi’s vision is to create an academic environment which facilitates and fosters both high quality intellectual achievement, and a culture of dialogue between religions, cultures, and traditions. Through partnership with other academic institutions within Israel and outside of the country, professional conferences and study days, and the incorporation of a diverse faculty, Al-Qasemi is actively working to create a new model for higher education. ",http://www.qsm.ac.il/Eng/
"Am Hofshi for Freedom of Religion, Conscience, Education & Culture",Israel,"Grant was made to fund educational and legal work for religious pluralism and tolerance in Israel. Israelis, whose personal rights are threatened, were helped by this aid to defend themselves.",
American Friends of Livnot U'Lehibanot,United States,"Livnot U’Lehibanot is an unaffiliated, non-profit organization that has been running co-ed Israel experience programs since 1980.  The programs facilitate an exploration of Israel and Jewish heritage through hiking, community service, seminars, and meaningful interactions with native and immigrant Israelis.  Livnot programming is geared for Jewish adults with little Jewish background.",http://www.livnot.org/contact-us/
American Friends of Rechov Sumsum,United States,"Rechov Sumsum encourages mutual respect and understanding among the country’s culturally and religiously diverse communities, while delivering other key aspects of children’s education, including Hebrew literacy and vocabulary, and coping with emergency situations. The show’s stories model peaceful problem solving and cultural acceptance on a “rechov,” or street, where Israelis of different ethnic and religious backgrounds live.",http://www.sesameworkshop.org/what-we-do/our-initiatives/rechov-sumsum/
American Jewish Joint Distribution Committee (JDC),United States,"The American Jewish Joint Distribution Committee (JDC) is the world’s leading Jewish humanitarian assistance organization. Since 1914, JDC has exemplified that all Jews are responsible for one another and for improving the well-being of vulnerable people around the world.",http://www.jdc.org/
American Jewish World Service,United States,"Inspired by Judaism’s commitment to justice, American Jewish World Service works to realize human rights and end poverty in the developing world.",http://ajws.org/
Ami-Da Institute,United States,Ami-Da Institute for training Russian Jewish leaders,
"Anwar Sadat Chair for Population, Development, and Peace, University of Maryland, College Park",United States,"The Anwar Sadat Chair for Peace and Development was established at the University of Maryland, College Park in the fall of 1997 in memory of the late Egyptian President Anwar Sadat. The Chair, under the leadership of the Sadat Professor Shibley Telhami, is housed in the Center for International Development and Conflict Management (CIDCM) and makes its academic home in the Department of Government and Politics. The Chair was made possible by the commitment of Anwar Sadat's widow, Dr. Jehan Sadat, to her husband's legacy of leadership for peace. With support from all levels of the University, Dr. Sadat created an endowment for the Chair from the generous support of many individual contributors from around the world.",http://sadat.umd.edu
"Aperture Foundation, Inc.",United States,"Support for book entitled ""Testimony."" ""Testimony"" contains fifty of Gillian Laub's portraits of Israeli Jews, Israeli Arabs, displaced Lebanese families, and Palestinians—each personally affected by the geopolitical context in which they live, and each an essential element in the puzzle of Middle East peace. The book also contains two essays, one by Palestinian-Israeli civil rights lawyer Raef Zreik and one by Israeli professor Ariella Azoulay, underline the complexity of the work and the dialogue it sparks.",
Arava Institute for Environmental Studies,Israel,"The Arava Institute for Environmental Studies (AIES) is the premier environmental education and research program in the Middle East, preparing future Arab and Jewish leaders to cooperatively solve the region's environmental challenges.",http://arava.org/about-our-community/contact/
Artis Contemporary Israeli Art Fund Inc.,Israel,Artis is an independent nonprofit organization that broadens international awareness and understanding of contemporary visual art from Israel.,http://www.artiscontemporary.org
